Date,Portfolio_Growth (%)
2015-11-11,1.3504717348859454
2015-11-12,1.3225282947885195
2015-11-13,1.2848144014362368
2015-11-16,1.3360152206247544
2015-11-17,1.3592322812130582
2015-11-18,1.404301896785975
2015-11-19,1.4042962715821528
2015-11-20,1.428240764795849
2015-11-23,1.4223081749568804
2015-11-24,1.435188783922221
2015-11-25,1.4516849968516392
2015-11-27,1.4607520130392733
2015-11-30,1.4574003823734762
2015-12-01,1.4855159680622907
2015-12-02,1.4859709524665194
2015-12-03,1.4995474872655428
2015-12-04,1.536367758369662
2015-12-07,1.516875639598042
2015-12-08,1.5239736433818576
2015-12-09,1.495115991673773
2015-12-10,1.5057960194611621
2015-12-11,1.463157621508435
2015-12-14,1.4671217498287044
2015-12-15,1.4680965076705956
2015-12-16,1.5132331181962724
2015-12-17,1.5014267112703021
2015-12-18,1.4666751692718418
2015-12-21,1.4877467092334584
2015-12-22,1.50067864130597
2015-12-23,1.5167574407902324
2015-12-24,1.5216755661290704
2015-12-28,1.5250699200126916
2015-12-29,1.5491911022780223
2015-12-30,1.5348242042053741
2015-12-31,1.510278885474316
2016-01-04,1.458319405375756
2016-01-05,1.4432665744212854
2016-01-06,1.4395227809222735
2016-01-07,1.3857932169712655
2016-01-08,1.350190745495013
2016-01-11,1.376839916449339
2016-01-12,1.3977024730174157
2016-01-13,1.3158556931494505
2016-01-14,1.3181133745228306
2016-01-15,1.2654984454863512
2016-01-19,1.2770921068938015
2016-01-20,1.2687679233219016
2016-01-21,1.2746015225313967
2016-01-22,1.2715891869688012
2016-01-25,1.2666956202386972
2016-01-26,1.2577850094199214
2016-01-27,1.223017245250137
2016-01-28,1.2387908197244615
2016-01-29,1.265822975230749
2016-02-01,1.283622740964607
2016-02-02,1.2278500461987045
2016-02-03,1.2199866130151318
2016-02-04,1.2286501721044911
2016-02-05,1.1478461447689507
2016-02-08,1.10789349004255
2016-02-09,1.1155439608467146
2016-02-10,1.1145658342167462
2016-02-11,1.106773291655743
2016-02-12,1.1242213109038266
2016-02-16,1.1562781080264424
2016-02-17,1.2122801338695406
2016-02-18,1.2105882583313299
2016-02-19,1.212530982539854
2016-02-22,1.2556985078649734
2016-02-23,1.2367841003563962
2016-02-24,1.2586939179814791
2016-02-25,1.2837978256509879
2016-02-26,1.289683448795114
2016-02-29,1.2893792727394537
2016-03-01,1.3296284896649493
2016-03-02,1.3381320779985613
2016-03-03,1.3544894007777946
2016-03-04,1.38367629192962
2016-03-07,1.3634268391290862
2016-03-08,1.3375937127706474
2016-03-09,1.3517372072779534
2016-03-10,1.3503599249315685
2016-03-11,1.3873121489733802
2016-03-14,1.410591612736066
2016-03-15,1.3942587378717808
2016-03-16,1.4238553419094213
2016-03-17,1.4451849466630775
2016-03-18,1.478054176213507
2016-03-21,1.4749570946714305
2016-03-22,1.4687329641773936
2016-03-23,1.4510826199737266
2016-03-24,1.459618916852436
2016-03-28,1.4762707093514817
2016-03-29,1.5014821044043525
2016-03-30,1.500014894840743
2016-03-31,1.4959054966525724
2016-04-01,1.5272214452367716
2016-04-04,1.5233232079536623
2016-04-05,1.5257253232735961
2016-04-06,1.5428663905898077
2016-04-07,1.513049027194838
2016-04-08,1.5161126850576747
2016-04-11,1.5140470682764422
2016-04-12,1.5323724748885532
2016-04-13,1.5654896071790794
2016-04-14,1.5598262723165628
2016-04-15,1.5613453326982447
2016-04-18,1.5520169910169188
2016-04-19,1.4629737401873644
2016-04-20,1.4867939337259772
2016-04-21,1.4679335925219106
2016-04-22,1.575796627467032
2016-04-25,1.523529235824121
2016-04-26,1.5400918919763282
2016-04-27,1.5474733240413046
2016-04-28,1.5139044015525434
2016-04-29,1.4909362352875344
2016-05-02,1.5238033669922184
2016-05-03,1.4883450316702862
2016-05-04,1.4661296273868198
2016-05-05,1.4579734907228488
2016-05-06,1.470668072020707
2016-05-09,1.4622587532235871
2016-05-10,1.4819006011221119
2016-05-11,1.4708559049871834
2016-05-12,1.44519843137251
2016-05-13,1.5038260006697348
2016-05-16,1.5356271343115933
2016-05-17,1.5282876459213588
2016-05-18,1.5616178540035466
2016-05-19,1.5558569562206757
2016-05-20,1.5954893470099278
2016-05-23,1.6175831038098707
2016-05-24,1.659317753855305
2016-05-25,1.6710191013771716
2016-05-26,1.702947084291876
2016-05-27,1.7247861457584925
2016-05-31,1.7300484771326352
2016-06-01,1.7136753119996115
2016-06-02,1.70141119517591
2016-06-03,1.6975146894370696
2016-06-06,1.725065865114378
2016-06-07,1.7401757295417657
2016-06-08,1.727417520333632
2016-06-09,1.7360065840452272
2016-06-10,1.6796276356281905
2016-06-13,1.6894256788832878
2016-06-14,1.68596218142295
2016-06-15,1.6949802420415387
2016-06-16,1.7268703929238451
2016-06-17,1.7453555203510565
2016-06-20,1.7448242316354676
2016-06-21,1.7545659887882052
2016-06-22,1.69575886219571
2016-06-23,1.735846388910246
2016-06-24,1.648040356472734
2016-06-27,1.6134628752965696
2016-06-28,1.6757985738824588
2016-06-29,1.7145077041940773
2016-06-30,1.723223915082707
2016-07-01,1.7368166564399394
2016-07-05,1.7311956077070516
2016-07-06,1.727048186957757
2016-07-07,1.74196335371474
2016-07-08,1.7843516737473515
2016-07-11,1.791377162673135
2016-07-12,1.8164196516679039
2016-07-13,1.8100299680497656
2016-07-14,1.8336088841881129
2016-07-15,1.8263950325722902
2016-07-18,1.8661508952026096
2016-07-19,1.8075875367557663
2016-07-20,1.8299507000199449
2016-07-21,1.7863958527773804
2016-07-22,1.846978451292308
2016-07-25,1.9358124753839543
2016-07-26,1.9881279679806636
2016-07-27,1.9787603931725972
2016-07-28,1.975216649713433
2016-07-29,1.9850646266471839
2016-08-01,1.9761251153627157
2016-08-02,1.9337539742659549
2016-08-03,1.9375468915868652
2016-08-04,1.9721283580515028
2016-08-05,2.0123816849786627
2016-08-08,2.008220841217945
2016-08-09,2.0075228755748347
2016-08-10,1.9934977306531885
2016-08-11,2.0197310103508253
2016-08-12,2.0683574559455487
2016-08-15,2.085221426333908
2016-08-16,2.0598696261483282
2016-08-17,2.0439091838613903
2016-08-18,2.0815162320084264
2016-08-19,2.128745046348147
2016-08-22,2.12599506834252
2016-08-23,2.1438989925239116
2016-08-24,2.107134002894667
2016-08-25,2.1146075682702596
2016-08-26,2.1369531417790424
2016-08-29,2.1255511351820227
2016-08-30,2.1107661287581028
2016-08-31,2.1005953273150073
2016-09-01,2.10564074441994
2016-09-02,2.100786235984742
2016-09-06,2.105375941782534
2016-09-07,2.0494939667880656
2016-09-08,2.0053121738522584
2016-09-09,1.9190943103406741
2016-09-12,1.9554282229958104
2016-09-13,1.919294522770209
2016-09-14,1.9597838699564527
2016-09-15,1.992233156061894
2016-09-16,2.006140892480153
2016-09-19,2.0167678480591986
2016-09-20,2.0059708822455873
2016-09-21,2.022750413791461
2016-09-22,2.0332693978404284
2016-09-23,2.043052558122005
2016-09-26,2.015711041070709
2016-09-27,2.0695513301820307
2016-09-28,2.0774259427227113
2016-09-29,2.0847658053922897
2016-09-30,2.1245705969221755
2016-10-03,2.1471638340865997
2016-10-04,2.14188160829356
2016-10-05,2.1489235937254954
2016-10-06,2.1433251154956072
2016-10-07,2.117759836480907
2016-10-10,2.1260840444809466
2016-10-11,2.0720165293494075
2016-10-12,2.07949981543541
2016-10-13,2.057745112769686
2016-10-14,2.0874509247064923
2016-10-17,2.0662393601386198
2016-10-18,2.1681213576859113
2016-10-19,2.185551973301036
2016-10-20,2.2172506720420158
2016-10-21,2.1989783293454224
2016-10-24,2.276184085062744
2016-10-25,2.3149454601350707
2016-10-26,2.302551975982115
2016-10-27,2.2724538769727216
2016-10-28,2.2689453018856818
2016-10-31,2.270148680068397
2016-11-01,2.223112686731452
2016-11-02,2.1966477746998203
2016-11-03,2.1837146571699737
2016-11-04,2.1701366074715
2016-11-07,2.2590792521126253
2016-11-08,2.261677340024032
2016-11-09,2.225030401591975
2016-11-10,2.112924097748933
2016-11-11,2.3423933457598194
2016-11-14,2.2872494297593606
2016-11-15,2.334361361291688
2016-11-16,2.4501673976692966
2016-11-17,2.5189873446844784
2016-11-18,2.546991973551168
2016-11-21,2.5798544068992473
2016-11-22,2.583041969058319
2016-11-23,2.594973302613482
2016-11-25,2.5960319819006563
2016-11-28,2.5934241651530403
2016-11-29,2.590322649937051
2016-11-30,2.5662800310789193
2016-12-01,2.4606618444626136
2016-12-02,2.4960835805334174
2016-12-05,2.5434552531636987
2016-12-06,2.634237424436086
2016-12-07,2.6766890815006645
2016-12-08,2.714224359800769
2016-12-09,2.7129318921229824
2016-12-12,2.7144130886835556
2016-12-13,2.7312097291974515
2016-12-14,2.779909499797481
2016-12-15,2.8356068484093924
2016-12-16,2.8356868706822285
2016-12-19,2.8787610348497754
2016-12-20,2.9632995950237637
2016-12-21,2.9718430479315168
2016-12-22,2.9879140548922485
2016-12-23,3.0201205377925224
2016-12-27,3.1491956662640703
2016-12-28,3.016150907510149
2016-12-29,3.033305645214247
2016-12-30,2.954746117143513
2017-01-03,2.935444622702686
2017-01-04,2.973376087483827
2017-01-05,2.9366502070947407
2017-01-06,2.9598628590456535
2017-01-09,3.016474882873409
2017-01-10,3.006336703108701
2017-01-11,2.97536555163016
2017-01-12,2.9187751336462506
2017-01-13,2.9339462832549237
2017-01-17,2.846060834913505
2017-01-18,2.8846655361971014
2017-01-19,2.9250492779625663
2017-01-20,2.9248023665421004
2017-01-23,2.9463241308999604
2017-01-24,3.037869727690201
2017-01-25,3.04265519654484
2017-01-26,3.073211905572972
2017-01-27,3.12299175153863
2017-01-30,3.0890842075282197
2017-01-31,3.0544670296902545
2017-02-01,3.2346508937123177
2017-02-02,3.2619239520437375
2017-02-03,3.2571212493577897
2017-02-06,3.39991295942171
2017-02-07,3.4031207490084148
2017-02-08,3.4273013058941375
2017-02-09,3.395646938174611
2017-02-10,3.3833256126268756
2017-02-13,3.3307694113653534
2017-02-14,3.305555320389886
2017-02-15,3.316761142429372
2017-02-16,3.2681298053885257
2017-02-17,3.2882057748477465
2017-02-21,3.4024324723268835
2017-02-22,3.424660633701727
2017-02-23,3.298156021344339
2017-02-24,3.295199296330393
2017-02-27,3.4020426366662853
2017-02-28,3.3110987940192396
2017-03-01,3.372093465325738
2017-03-02,3.247235144595236
2017-03-03,3.177890949192769
2017-03-06,3.18123550154154
2017-03-07,3.1907974804806942
2017-03-08,3.1964805708912274
2017-03-09,3.208323275268731
2017-03-10,3.2665445661477532
2017-03-13,3.3343971125547283
2017-03-14,3.325486673619351
2017-03-15,3.3335001633072965
2017-03-16,3.3164791079877056
2017-03-17,3.3269775268913975
2017-03-20,3.4321156348738753
2017-03-21,3.3191361486764244
2017-03-22,3.3692395920144618
2017-03-23,3.331703230549988
2017-03-24,3.341317681701544
2017-03-27,3.363850337328086
2017-03-28,3.3723809026118223
2017-03-29,3.3762730227677102
2017-03-30,3.4265421179255724
2017-03-31,3.4565111107260655
2017-04-03,3.4723373841798924
2017-04-04,3.3602194887886805
2017-04-05,3.33438346659318
2017-04-06,3.2788156752990325
2017-04-07,3.295742878907295
2017-04-10,3.2503397140855683
2017-04-11,3.251528027373965
2017-04-12,3.188415957705251
2017-04-13,3.143740307246932
2017-04-17,3.236987289219338
2017-04-18,3.2313372699810445
2017-04-19,3.218393752700357
2017-04-20,3.266420403293039
2017-04-21,3.2708530733963115
2017-04-24,3.3064301780261283
2017-04-25,3.393771341653563
2017-04-26,3.3663026445878534
2017-04-27,3.411216780771673
2017-04-28,3.3708077163080516
2017-05-01,3.439672631728809
2017-05-02,3.170158505177521
2017-05-03,3.171325820999468
2017-05-04,3.1351017307130604
2017-05-05,3.1571842619589576
2017-05-08,3.130440702623539
2017-05-09,3.1665347906142287
2017-05-10,3.4152029763425453
2017-05-11,3.478546202902917
2017-05-12,3.526986964652493
2017-05-15,3.597578556852852
2017-05-16,3.7239227235096783
2017-05-17,3.463666241037489
2017-05-18,3.5521300206744364
2017-05-19,3.587127464347806
2017-05-22,3.5969010921272186
2017-05-23,3.5606602208869154
2017-05-24,3.5870728753920424
2017-05-25,3.6205445587146605
2017-05-26,3.6634016204984716
2017-05-30,3.7119699033188587
2017-05-31,3.716155327051498
2017-06-01,3.6861032016955284
2017-06-02,3.72485898556301
2017-06-05,3.7954399059087103
2017-06-06,3.8567406843102665
2017-06-07,3.909448822414202
2017-06-08,4.067762229848828
2017-06-09,3.8523298948742726
2017-06-12,3.815536151114538
2017-06-13,3.8411295499746316
2017-06-14,3.8274899286333017
2017-06-15,3.8020108926370377
2017-06-16,3.7854824596977514
2017-06-19,3.8912430028060805
2017-06-20,3.9366321972710607
2017-06-21,4.08665359835067
2017-06-22,4.108630743258584
2017-06-23,4.063555534816244
